status	ID_1	cognate_1	language_1	cognateID_results_1	cognateID_wiki_1	borrowed_1	pgmc_forms_results_1	pgmc_forms_wiki_1		ID_2	cognate_2	language_2	cognateID_results_2	cognateID_wiki_2	borrowed_2	pgmc_forms_results_2	pgmc_forms_wiki_2
tp	10	elk	en	3926	1072	false	*albut-	elhaz		156	elk	en	3926	1072	false	*elha(n)-	elhaz
tp	19	apple	en	563	348	false	*apla-	aplaz		20	Apfel	de	563	348	false	*apla-	aplaz
tp	29	east	en	15864	415	false	*austera-	austrą		29	east	en	15864	415	false	*austera-	austrą
tp	48	bear	en	1323	570	false	*beran-	berô		50	Bär	de	1323	570	false	*beran-	berô
tp	56	bow	en	27533	576	false	*beugan-	beuganą		73	bow	en	27533	576	false	*bōgu-	beuganą
tp	56	bow	en	27533	576	false	*beugan-	beuganą		98	bow	en	27533	576	false	*bugan-	beuganą
tp	73	bow	en	27533	576	false	*bōgu-	beuganą		98	bow	en	27533	576	false	*bugan-	beuganą
tp	56	bow	en	27533	803	false	*beugan-	bugô		73	bow	en	27533	803	false	*bōgu-	bugô
tp	56	bow	en	27533	803	false	*beugan-	bugô		98	bow	en	27533	803	false	*bugan-	bugô
tp	73	bow	en	27533	803	false	*bōgu-	bugô		98	bow	en	27533	803	false	*bugan-	bugô
tp	60	bite	en	26850	636	false	*bītan-	bītaną		62	beißen	de	26850	636	false	*bītan-	bītaną
tp	66	blow	en	28037	660	false	*blēan-	blēaną		68	blow	en	28037	660	false	*blewwan-	blēaną
tp	66	blow	en	28037	668	true	*blēan-	blewwaną		68	blow	en	28037	668	true	*blewwan-	blewwaną
tp	66	blow	en	28037	680	false	*blēan-	blōaną		68	blow	en	28037	680	false	*blewwan-	blōaną
tp	75	bosom	en	2912	712	false	*bōsma-	bōsmaz		77	Busen	de	2912	712	false	*bōsma-	bōsmaz
tp	93	bridge	en	2456	776	false	*bru(w)ī-	brugjǭ		95	Brücke	de	2456	776	false	*bru(w)ī-	brugjǭ
tp	111	death	en	21646	897	false	*daujan-	dauþuz		113	Tod	de	21646	897	false	*daujan-	dauþuz
tp	126	dream	en	21860	968	false	*dreugan-	draumaz		128	Traum	de	21860	968	false	*dreugan-	draumaz
tp	129	drive	en	48400	980	false	*drīban-	drībaną		131	treiben	de	48400	980	false	*drīban-	drībaną
tp	132	drink	en	48508	982	false	*drinkan-	drinkaną		134	trinken	de	48508	982	false	*drinkan-	drinkaną
tp	132	drink	en	48508	982	false	*drinkan-	drinkaną		136	drink	en	48508	982	false	*drunki-	drinkaną
tp	134	trinken	de	48508	982	false	*drinkan-	drinkaną		136	drink	en	48508	982	false	*drunki-	drinkaną
tp	132	drink	en	48508	997	false	*drinkan-	drunkiz		136	drink	en	48508	997	false	*drunki-	drunkiz
tp	137	daughter	en	21580	1010	false	*duhter-	duhtēr		139	Tochter	de	21580	1010	false	*duhter-	duhtēr
tp	167	father	en	22192	1110	false	*fader-	fadēr		169	Vater	de	22192	1110	false	*fader-	fadēr
tp	184	Feder	de	4811	1241	false	*feϸrō-	feþrō		185	feather	en	4811	1241	false	*feϸrō-	feþrō
tp	191	finger	en	5341	1256	false	*fingra-	fingraz		193	Finger	de	5341	1256	false	*fingra-	fingraz
tp	195	finden	de	31926	1261	false	*finϸan-	finþaną		196	find	en	31926	1261	false	*finϸan-	finþaną
tp	201	fly	en	32157	1296	false	*fleugan-	fleuganą		203	fliegen	de	32157	1296	false	*fleugan-	fleuganą
tp	201	fly	en	32157	1296	false	*fleugan-	fleuganą		206	fly	en	32157	1296	false	*fleugōn-	fleuganą
tp	203	fliegen	de	32157	1296	false	*fleugan-	fleuganą		206	fly	en	32157	1296	false	*fleugōn-	fleuganą
tp	201	fly	en	32157	1297	false	*fleugan-	fleugǭ		206	fly	en	32157	1297	false	*fleugōn-	fleugǭ
tp	213	fire	en	5229	1326	false	*fōr-	fōr		215	Feuer	de	5229	1326	false	*fōr-	fōr
tp	216	foot	en	6025	1333	false	*fōt-	fōts		218	Fuß	de	6025	1333	false	*fōt-	fōts
tp	221	friend	en	5883	1399	false	*fri(j)ōnd-	frijōndz		223	Freund	de	5883	1399	false	*fri(j)ōnd-	frijōndz
tp	230	fox	en	6147	1430	false	*fuhsa-	fuhsaz		231	Fuchs	de	6147	1430	false	*fuhsa-	fuhsaz
tp	234	full	en	50583	1443	false	*fulla-	fullaz		236	voll	de	50583	1443	false	*fulla-	fullaz
tp	239	fürchten	de	32846	1473	false	*furhtō-	furhtijaną		239	fürchten	de	32846	1473	false	*furhtō-	furhtijaną
tp	243	Gans	de	6345	1577	false	*gans-	gans		244	goose	en	6345	1577	false	*gans-	gans
tp	248	give	en	42619	1626	false	*geban-	gebaną		248	give	en	42619	1626	true	*geban-	gebaną
tp	254	go	en	33082	1563	false	*gēn-	gāną		256	gehen	de	33082	1563	false	*gēn-	gāną
tp	266	glass	en	7718	1663	false	*glasa-	glasą		267	Glas	de	7718	1663	false	*glasa-	glasą
tp	268	good	en	34171	1684	false	*gōda-	gōdaz		270	gut	de	34171	1684	false	*gōda-	gōdaz
tp	276	grass	en	7945	1702	false	*grasa-	grasą		277	Gras	de	7945	1702	false	*grasa-	grasą
tp	280	grau	de	33949	1717	false	*grēwa-	grēwaz		281	grey	en	33949	1717	false	*grēwa-	grēwaz
tp	312	hay	en	9320	1934	false	*hauja-	hawją		314	Heu	de	9320	1934	false	*hauja-	hawją
tp	324	hair	en	8415	1957	false	*hēra-	hērą		326	Haar	de	8415	1957	false	*hēra-	hērą
tp	329	heart	en	9276	1960	false	*hertōn-	hertô		331	Herz	de	9276	1960	false	*hertōn-	hertô
tp	332	héri	is	8821	1910	false	*hesan-	hasô		332	héri	is	8821	1910	false	*hesan-	hasô
tp	332	héri	is	8821	1910	false	*hesan-	hasô		333	hare	en	8821	1910	false	*hesan-	hasô
tp	332	héri	is	8821	1910	false	*hesan-	hasô		333	hare	en	8821	1910	false	*hesan-	hasô
tp	346	roh	de	41576	2116	false	*hrawa-	hrawaz		347	raw	en	41576	2116	false	*hrawa-	hrawaz
tp	350	ring	en	36384	2140	false	*hringa-	hringaz		350	ring	en	36384	2140	true	*hringa-	hringaz
tp	356	honey	en	9690	2205	false	*hunanga-	hunagą		358	Honig	de	9690	2205	false	*hunanga-	hunagą
tp	361	hunger	en	9991	2214	false	*hungru-	hungruz		363	Hunger	de	9991	2214	false	*hungru-	hungruz
tp	367	Horn	de	9717	2225	false	*hurna-	hurną		368	horn	en	9717	2225	false	*hurna-	hurną
tp	370	house	en	8941	2232	false	*hūsa-	hūsą		372	Haus	de	8941	2232	false	*hūsa-	hūsą
tp	378	where	en	52376	2253	false	*hwar	hwar		380	wo	de	52376	2253	false	*hwar	hwar
tp	381	white	en	51640	2291	false	*hwīta-	hwītaz		383	weiß	de	51640	2291	false	*hwīta-	hwītaz
tp	392	young	en	35929	2370	false	*junga-	jungaz		394	jung	de	35929	2370	false	*junga-	jungaz
tp	423	cow	en	12003	2614	false	*kō-	kūz		425	Kuh	de	12003	2614	false	*kō-	kūz
tp	426	cool	en	37196	2513	false	*kōlu-	kōluz		428	kühl	de	37196	2513	false	*kōlu-	kōluz
tp	444	kiss	en	37297	2606	false	*kussjan-	kussijaną		446	küssen	de	37297	2606	false	*kussjan-	kussijaną
tp	449	lay	en	37940	2654	false	*lagjan-	lagjaną		451	legen	de	37940	2654	false	*lagjan-	lagjaną
tp	455	lead	en	38076	2664	false	*laidjan-	laidijaną		457	leiten	de	38076	2664	false	*laidjan-	laidijaną
tp	455	lead	en	38076	2664	false	*laidjan-	laidijaną		464	lead	en	38076	2664	false	*lauda-	laidijaną
tp	457	leiten	de	38076	2664	false	*laidjan-	laidijaną		464	lead	en	38076	2664	false	*lauda-	laidijaną
tp	455	lead	en	38076	2717	false	*laidjan-	laudą		464	lead	en	38076	2717	false	*lauda-	laudą
tp	459	lecken	de	37793	2681	false	*lakjan-	lakjaną		488	lecken	de	37793	2681	false	*likkōn-	lakjaną
tp	459	lecken	de	37793	2786	false	*lakjan-	likkōną		486	lick	en	37793	2786	false	*likkōn-	likkōną
tp	459	lecken	de	37793	2786	false	*lakjan-	likkōną		488	lecken	de	37793	2786	false	*likkōn-	likkōną
tp	486	lick	en	37793	2786	false	*likkōn-	likkōną		488	lecken	de	37793	2786	false	*likkōn-	likkōną
tp	465	lie	en	38394	2756	false	*leg(j)an-	leuganą		476	lie	en	38394	2756	false	*leugan-	leuganą
tp	465	lie	en	38394	2781	false	*leg(j)an-	ligjaną		467	liegen	de	38394	2781	false	*leg(j)an-	ligjaną
tp	465	lie	en	38394	2781	false	*leg(j)an-	ligjaną		476	lie	en	38394	2781	false	*leugan-	ligjaną
tp	467	liegen	de	38394	2781	false	*leg(j)an-	ligjaną		476	lie	en	38394	2781	false	*leugan-	ligjaną
tp	465	lie	en	38394	2831	false	*leg(j)an-	lugiz		476	lie	en	38394	2831	false	*leugan-	lugiz
tp	483	liver	en	12642	2780	false	*librō-	librō		484	Leber	de	12642	2780	false	*librō-	librō
tp	501	man	en	13702	2914	false	*mannan-	mann-		502	Mann	de	13702	2914	false	*mannan-	mann-
tp	508	mjólk	is	14130	2979	false	*mel(u)kan-	meluks		510	Milch	de	14130	2979	false	*mel(u)kan-	meluks
tp	512	moon	en	14340	2983	false	*mēnan-	mēnô		514	Mond	de	14340	2983	false	*mēnan-	mēnô
tp	515	month	en	14296	2984	false	*mēnōþ-	mēnōþs		517	Monat	de	14296	2984	false	*mēnōþ-	mēnōþs
tp	520	Mutter	de	14678	3051	false	*mōder-	mōdēr		521	mother	en	14678	3051	false	*mōder-	mōdēr
tp	523	moor	en	14418	3059	false	*mōra-	mōraz		524	Moor	de	14418	3059	true	*mōra-	mōraz
tp	530	morgunn	is	14503	3089	false	*murge	murginaz		532	Morgen	de	14503	3089	false	*murge	murginaz
tp	533	mouse	en	13847	3099	false	*mūs-	mūs		535	Maus	de	13847	3099	false	*mūs-	mūs
tp	536	midge	en	14567	3069	false	*muwī-	mugjǭ		538	Mücke	de	14567	3069	false	*muwī-	mugjǭ
tp	539	Nabel	de	14777	3104	false	*nablan-	nabalô		540	navel	en	14777	3104	false	*nablan-	nabalô
tp	541	nail	en	14982	3110	false	*nagl-	naglaz		543	Nagel	de	14982	3110	false	*nagl-	naglaz
tp	544	night	en	14869	3113	false	*naht-	nahts		546	Nacht	de	14869	3113	false	*naht-	nahts
tp	544	night	en	14869	3113	false	*naht-	nahts		547	nótt	is	14869	3113	false	*naht-	nahts
tp	546	Nacht	de	14869	3113	false	*naht-	nahts		547	nótt	is	14869	3113	false	*naht-	nahts
tp	548	naked	en	39133	3115	false	*nakwe	nakwadaz		550	nackt	de	39133	3115	false	*nakwe	nakwadaz
tp	548	naked	en	39133	3117	false	*nakwe	nakwōną		550	nackt	de	39133	3117	false	*nakwe	nakwōną
tp	564	needle	en	14904	3166	false	*nēan-	nēþlō		566	Nadel	de	14904	3166	false	*nēan-	nēþlō
tp	571	nest	en	15245	3155	false	*nista-	nestą		572	Nest	de	15245	3155	false	*nista-	nestą
tp	576	path	en	15953	3227	false	*paþa-	paþaz		578	Pfad	de	15953	3227	false	*paþa-	paþaz
tp	608	See	de	19105	3413	false	sīhwan-	saiwiz		609	See	de	19105	3413	false	sīhwan-	saiwiz
tp	611	salt	en	17473	3429	false	*salta-	saltą		613	Salz	de	17473	3429	false	*salta-	saltą
tp	614	Sand	de	17547	3441	false	*samda-	samdaz		615	sand	en	17547	3441	false	*samda-	samdaz
tp	622	sink	en	50145	3548	false	*sankwjan-	sinkwaną		650	sink	en	50145	3548	false	*sinkwan-	sinkwaną
tp	625	seven	en	45919	3471	false	*sebun-	sebun		627	sieben	de	45919	3471	false	*sebun-	sebun
tp	634	sehen	de	44748	3485	false	*sehwan-	sehwaną		635	see	en	44748	3485	false	*sehwan-	sehwaną
tp	634	sehen	de	44748	3485	false	*sehwan-	sehwaną		641	see	en	44748	3485	false	*sīhwan-	sehwaną
tp	635	see	en	44748	3485	false	*sehwan-	sehwaną		641	see	en	44748	3485	false	*sīhwan-	sehwaną
tp	638	sit	en	46228	3556	false	*set(j)an-	sitjaną		640	sitzen	de	46228	3556	false	*set(j)an-	sitjaną
tp	642	silver	en	19299	3537	false	*silubra-	silubrą		644	Silber	de	19299	3537	false	*silubra-	silubrą
tp	645	sing	en	46116	3545	false	*singwan-	singwaną		647	singen	de	46116	3545	false	*singwan-	singwaną
tp	652	shadow	en	17797	3566	false	*skadu-	skadwaz		654	Schatten	de	17797	3566	false	*skadu-	skadwaz
tp	655	scharf	de	42390	3602	false	*skarpa-	skarpaz		656	sharp	en	42390	3602	false	*skarpa-	skarpaz
tp	671	shoe	en	18672	3664	false	*skōha-	skōhaz		673	Schuh	de	18672	3664	false	*skōha-	skōhaz
tp	686	sleep	en	42939	3708	false	*slēpan-	slēpaną		688	schlafen	de	42939	3708	false	*slēpan-	slēpaną
tp	693	snow	en	18453	3766	false	*snaiwa-	snaiwaz		695	Schnee	de	18453	3766	false	*snaiwa-	snaiwaz
tp	701	spade	en	19594	3804	false	*spadan-	spadô		702	Spaten	de	19594	3804	false	*spadan-	spadô
tp	705	sprechen	de	46701	3852	false	*sprekan-	sprekaną		706	speak	en	46701	3852	false	*sprekan-	sprekaną
tp	712	staff	en	20039	3867	false	*staba-	stabaz		714	Stab	de	20039	3867	false	*staba-	stabaz
tp	716	stone	en	20366	3880	false	*staina-	stainaz		718	Stein	de	20366	3880	false	*staina-	stainaz
tp	728	steal	en	47042	3910	false	*stelan-	stelaną		730	stehlen	de	47042	3910	false	*stelan-	stelaną
tp	753	sound	en	36445	4020	true	*swimman-	sundą		753	sound	en	36445	4020	false	*swimman-	sundą
tp	758	sour	en	42282	4045	false	*sūra-	sūraz		760	sauer	de	42282	4045	false	*sūra-	sūraz
tp	763	swan	en	18835	4063	false	*swana-	swanaz		765	Schwan	de	18835	4063	false	*swana-	swanaz
tp	771	sister	en	19045	4097	false	*swester-	swestēr		771	sister	en	19045	4097	true	*swester-	swestēr
tp	771	sister	en	19045	4097	false	*swester-	swestēr		773	Schwester	de	19045	4097	false	*swester-	swestēr
tp	771	sister	en	19045	4097	true	*swester-	swestēr		773	Schwester	de	19045	4097	false	*swester-	swestēr
tp	774	sweet	en	47666	4119	false	*swōtu-	swōtuz		776	süß	de	47666	4119	false	*swōtu-	swōtuz
tp	778	tear	en	52870	4123	false	*tagra-	tahrą		791	tear	en	52870	4123	false	*teran-	tahrą
tp	778	tear	en	52870	4170	false	*tagra-	teraną		791	tear	en	52870	4170	false	*teran-	teraną
tp	788	ten	en	52665	4162	false	*tehun-	tehun		790	zehn	de	52665	4162	false	*tehun-	tehun
tp	801	tongue	en	23980	4255	false	*tungōn-	tungǭ		803	Zunge	de	23980	4255	false	*tungōn-	tungǭ
tp	807	zwölf	de	53902	4269	false	*twalifa-	twalif		808	twelve	en	53902	4269	false	*twalifa-	twalif
tp	814	think	en	28924	4777	false	*ϸankjan-	þankijaną		839	think	en	28924	4777	false	*þunkjan-	þankijaną
tp	814	think	en	28924	4881	false	*ϸankjan-	þunkijaną		839	think	en	28924	4881	false	*þunkjan-	þunkijaną
tp	818	thick	en	29037	4796	false	*ϸeku-	þekuz		820	dick	de	29037	4796	false	*ϸeku-	þekuz
tp	827	flee	en	32193	1298	false	*ϸleuhan-	fleuhaną		828	fliehen	de	32193	1298	false	*ϸleuhan-	fleuhaną
tp	834	three	en	29348	4862	false	*ϸrī-	þrīz		836	drei	de	29348	4862	false	*ϸrī-	þrīz
tp	840	thin	en	29696	4883	false	*ϸunnu-	þunnuz		842	dünn	de	29696	4883	false	*ϸunnu-	þunnuz
tp	845	ofn	is	15604	4301	false	*ufna-	uhnaz		846	Ofen	de	15604	4301	false	*ufna-	uhnaz
tp	851	owl	en	4510	4356	false	*uwwilōn-	uwwalǭ		853	Eule	de	4510	4356	false	*uwwilōn-	uwwalǭ
tp	863	wet	en	39287	4575	false	*watar-	wētijaną		863	wet	en	39287	4575	false	*watar-	wētijaną
tp	877	weather	en	22942	4526	false	*weþra-	wedrą		879	Wetter	de	22942	4526	false	*weþra-	wedrą
tp	882	wind	en	23139	4628	false	*winda-	windaz		883	Wind	de	23139	4628	false	*winda-	windaz
tp	888	wolf	en	23280	4731	false	*wulfa-	wulfaz		889	Wolf	de	23280	4731	false	*wulfa-	wulfaz
tp	890	wool	en	23406	4738	false	*wullō-	wullō		892	Wolle	de	23406	4738	false	*wullō-	wullō
tp	895	wish	en	52596	4747	false	*wunska-	wunskijaną		897	wünschen	de	52596	4747	false	*wunska-	wunskijaną
tp	898	word	en	23420	4749	false	*wurda-	wurdą		900	Wort	de	23420	4749	false	*wurda-	wurdą
fp	3	own	en	27350	146	false	*aigena-	aiginijaną		3	own	en	27350	4329	false	*aigena-	unnaną
fp	9	ache	en	43564	221	false	*akan-	akaną		9	ache	en	43564	222	false	*akan-	akiz
fp	15	end	en	30487	311	false	*andja-	andijaz		15	end	en	30487	312	false	*andja-	andijōną
fp	16	angle	en	23175	319	false	*angula-	angulaz		16	angle	en	23175	320	false	*angula-	angulō
fp	22	Arbeit	de	674	350	false	*arbaidi-	arbaidiją		22	Arbeit	de	674	352	false	*arbaidi-	arbaidiz
fp	29	east	en	15864	415	false	*austera-	austrą		29	east	en	15864	416	false	*austera-	austraz
fp	29	east	en	15864	415	false	*austera-	austrą		29	east	en	15864	416	false	*austera-	austraz
fp	30	ear	en	15616	124	false	*auzōn-	ahaz		30	ear	en	15616	361	false	*auzōn-	arjaną
fp	48	bear	en	1323	559	false	*beran-	beraną		48	bear	en	1323	570	false	*beran-	berô
fp	48	bear	en	1323	559	false	*beran-	beraną		50	Bär	de	1323	459	false	*beran-	bairaz
fp	48	bear	en	1323	559	false	*beran-	beraną		50	Bär	de	1323	570	false	*beran-	berô
fp	48	bear	en	1323	570	false	*beran-	berô		50	Bär	de	1323	459	false	*beran-	bairaz
fp	50	Bär	de	1323	459	false	*beran-	bairaz		50	Bär	de	1323	570	false	*beran-	berô
fp	53	bright	en	34598	564	false	*berhta-	berhtaz		53	bright	en	34598	626	false	*berhta-	birhtį̄
fp	54	bark	en	27051	503	true	*berkan-	barkuz		54	bark	en	27051	566	false	*berkan-	berkaną
fp	56	bow	en	27533	576	false	*beugan-	beuganą		56	bow	en	27533	803	false	*beugan-	bugô
fp	56	bow	en	27533	576	false	*beugan-	beuganą		73	bow	en	27533	803	false	*bōgu-	bugô
fp	56	bow	en	27533	576	false	*beugan-	beuganą		98	bow	en	27533	803	false	*bugan-	bugô
fp	56	bow	en	27533	803	false	*beugan-	bugô		73	bow	en	27533	576	false	*bōgu-	beuganą
fp	56	bow	en	27533	803	false	*beugan-	bugô		98	bow	en	27533	576	false	*bugan-	beuganą
fp	73	bow	en	27533	576	false	*bōgu-	beuganą		73	bow	en	27533	803	false	*bōgu-	bugô
fp	73	bow	en	27533	576	false	*bōgu-	beuganą		98	bow	en	27533	803	false	*bugan-	bugô
fp	73	bow	en	27533	803	false	*bōgu-	bugô		98	bow	en	27533	576	false	*bugan-	beuganą
fp	98	bow	en	27533	576	false	*bugan-	beuganą		98	bow	en	27533	803	false	*bugan-	bugô
fp	66	blow	en	28037	660	false	*blēan-	blēaną		66	blow	en	28037	668	true	*blēan-	blewwaną
fp	66	blow	en	28037	660	false	*blēan-	blēaną		66	blow	en	28037	680	false	*blēan-	blōaną
fp	66	blow	en	28037	660	false	*blēan-	blēaną		68	blow	en	28037	668	true	*blewwan-	blewwaną
fp	66	blow	en	28037	660	false	*blēan-	blēaną		68	blow	en	28037	680	false	*blewwan-	blōaną
fp	66	blow	en	28037	668	true	*blēan-	blewwaną		66	blow	en	28037	680	false	*blēan-	blōaną
fp	66	blow	en	28037	668	true	*blēan-	blewwaną		68	blow	en	28037	660	false	*blewwan-	blēaną
fp	66	blow	en	28037	668	true	*blēan-	blewwaną		68	blow	en	28037	680	false	*blewwan-	blōaną
fp	66	blow	en	28037	680	false	*blēan-	blōaną		68	blow	en	28037	660	false	*blewwan-	blēaną
fp	66	blow	en	28037	680	false	*blēan-	blōaną		68	blow	en	28037	668	true	*blewwan-	blewwaną
fp	68	blow	en	28037	660	false	*blewwan-	blēaną		68	blow	en	28037	668	true	*blewwan-	blewwaną
fp	68	blow	en	28037	660	false	*blewwan-	blēaną		68	blow	en	28037	680	false	*blewwan-	blōaną
fp	68	blow	en	28037	668	true	*blewwan-	blewwaną		68	blow	en	28037	680	false	*blewwan-	blōaną
fp	74	book	en	2643	706	false	*bōk(j)ō-	bōkōną		74	book	en	2643	707	false	*bōk(j)ō-	bōks
fp	84	breast	en	2593	749	false	*breusta-	breustą		92	Brust	de	2593	790	false	*brust-	brusts
fp	86	burn	en	49425	762	false	*brinnan-	brinnaną		86	burn	en	49425	788	false	*brinnan-	brunnô
fp	114	dark	en	29635	911	false	*derka-	derkaz		114	dark	en	29635	912	false	*derka-	derkōną
fp	123	dry	en	48570	967	false	*draugja-	draugiz		123	dry	en	48570	992	false	*draugja-	drūgiz
fp	126	dream	en	21860	968	false	*dreugan-	draumaz		126	dream	en	21860	969	false	*dreugan-	draumijaną
fp	126	dream	en	21860	969	false	*dreugan-	draumijaną		128	Traum	de	21860	968	false	*dreugan-	draumaz
fp	132	drink	en	48508	982	false	*drinkan-	drinkaną		132	drink	en	48508	997	false	*drinkan-	drunkiz
fp	132	drink	en	48508	982	false	*drinkan-	drinkaną		136	drink	en	48508	997	false	*drunki-	drunkiz
fp	132	drink	en	48508	997	false	*drinkan-	drunkiz		134	trinken	de	48508	982	false	*drinkan-	drinkaną
fp	132	drink	en	48508	997	false	*drinkan-	drunkiz		136	drink	en	48508	982	false	*drunki-	drinkaną
fp	134	trinken	de	48508	982	false	*drinkan-	drinkaną		136	drink	en	48508	997	false	*drunki-	drunkiz
fp	136	drink	en	48508	982	false	*drunki-	drinkaną		136	drink	en	48508	997	false	*drunki-	drunkiz
fp	140	duck	en	4166	944	true	*dūkan-	dōkaz		140	duck	en	4166	1012	false	*dūkan-	dūkaną
fp	146	dust	en	20319	1032	false	*dunsta-	dunstą		146	dust	en	20319	1046	false	*dunsta-	dustą
fp	147	Tor	de	21771	894	false	*dura-	dauzô		147	Tor	de	21771	1034	false	*dura-	durą
fp	148	door	en	22018	1034	false	*dura-	durą		148	door	en	22018	1042	false	*dura-	durz
fp	197	fish	en	31954	1271	false	*fiska-	fiskaz		197	fish	en	31954	1272	false	*fiska-	fiskōną
fp	200	flat	en	31984	1287	true	*flatja-	flataz		200	flat	en	31984	1288	true	*flatja-	flatją
fp	201	fly	en	32157	1296	false	*fleugan-	fleuganą		201	fly	en	32157	1297	false	*fleugan-	fleugǭ
fp	201	fly	en	32157	1296	false	*fleugan-	fleuganą		206	fly	en	32157	1297	false	*fleugōn-	fleugǭ
fp	201	fly	en	32157	1297	false	*fleugan-	fleugǭ		203	fliegen	de	32157	1296	false	*fleugan-	fleuganą
fp	201	fly	en	32157	1297	false	*fleugan-	fleugǭ		206	fly	en	32157	1296	false	*fleugōn-	fleuganą
fp	203	fliegen	de	32157	1296	false	*fleugan-	fleuganą		206	fly	en	32157	1297	false	*fleugōn-	fleugǭ
fp	206	fly	en	32157	1296	false	*fleugōn-	fleuganą		206	fly	en	32157	1297	false	*fleugōn-	fleugǭ
fp	207	fließen	de	32119	1300	false	*fleutan-	fleutaną		208	flow	en	32119	1302	false	*flōan-	flōaną
